nd_id,nd_2_id,ca_id,mt_id,cap_trme_leg,cap_trmi_leg
0,2,0,0,4081.0,4081.0
0,2,0,1,4081.0,4081.0
0,2,0,2,4081.0,4081.0
0,2,0,3,4081.0,4081.0
0,2,0,4,4081.0,4081.0
0,2,0,5,4081.0,4081.0
0,2,0,6,4081.0,4081.0
0,2,0,7,4081.0,4081.0
0,2,0,8,4081.0,4081.0
0,2,0,9,4081.0,4081.0
0,2,0,10,4081.0,4081.0
0,2,0,11,4081.0,4081.0
4,0,0,0,100.0,310.0
4,0,0,1,100.0,310.0
4,0,0,2,100.0,310.0
4,0,0,3,100.0,270.0
4,0,0,4,100.0,270.0
4,0,0,5,100.0,270.0
4,0,0,6,80.0,155.0
4,0,0,7,80.0,155.0
4,0,0,8,80.0,155.0
4,0,0,9,100.0,302.0
4,0,0,10,100.0,302.0
4,0,0,11,100.0,302.0
2,3,0,0,2550.0,2500.0
2,3,0,1,2550.0,2500.0
2,3,0,2,2550.0,2500.0
2,3,0,3,1900.0,2500.0
2,3,0,4,1900.0,2500.0
2,3,0,5,1900.0,2500.0
2,3,0,6,1200.0,1400.0
2,3,0,7,1200.0,1400.0
2,3,0,8,1200.0,1400.0
2,3,0,9,1200.0,3000.0
2,3,0,10,1200.0,3000.0
2,3,0,11,1200.0,3000.0
3,4,0,0,3150.0,995.0
3,4,0,1,3150.0,995.0
3,4,0,2,3150.0,995.0
3,4,0,3,2700.0,995.0
3,4,0,4,2700.0,995.0
3,4,0,5,2700.0,995.0
3,4,0,6,2400.0,870.0
3,4,0,7,2400.0,870.0
3,4,0,8,2400.0,870.0
3,4,0,9,3150.0,995.0
3,4,0,10,3150.0,995.0
3,4,0,11,3150.0,995.0
1,0,0,0,1200.0,769.0
1,0,0,1,1200.0,769.0
1,0,0,2,1200.0,769.0
1,0,0,3,1200.0,804.0
1,0,0,4,1200.0,804.0
1,0,0,5,1200.0,804.0
1,0,0,6,1200.0,850.0
1,0,0,7,1200.0,850.0
1,0,0,8,1200.0,850.0
1,0,0,9,1200.0,800.0
1,0,0,10,1200.0,800.0
1,0,0,11,1200.0,800.0
1,2,0,0,4000.0,1302.0
1,2,0,1,4000.0,1302.0
1,2,0,2,4000.0,1302.0
1,2,0,3,4000.0,1562.0
1,2,0,4,4000.0,1562.0
1,2,0,5,4000.0,1562.0
1,2,0,6,4000.0,1750.0
1,2,0,7,4000.0,1750.0
1,2,0,8,4000.0,1750.0
1,2,0,9,4000.0,1399.0
1,2,0,10,4000.0,1399.0
1,2,0,11,4000.0,1399.0
1,3,0,0,1100.0,3200.0
1,3,0,1,1100.0,3200.0
1,3,0,2,1100.0,3200.0
1,3,0,3,1200.0,3000.0
1,3,0,4,1200.0,3000.0
1,3,0,5,1200.0,3000.0
1,3,0,6,1100.0,3000.0
