pp_id,ca_id,scenario,cap_pwr_leg,cap_pwr_leg_yr2020,cap_pwr_leg_yr2025,cap_pwr_leg_yr2030,cap_pwr_leg_yr2035,cap_pwr_leg_yr2040,cap_pwr_leg_yr2045,cap_pwr_leg_yr2050
48,0,hi_gas,46.2,191.26334532998402,407.58587783960996,585.733845788713,639.178236173444,662.082974909757,672.2628587925631,674.807829763265
16,0,hi_gas,154.962676251037,309.787116394802,486.591097594692,552.944429084877,552.944429084877,619.435996682334,707.768869228643,730.0248824993089
41,0,hi_gas,0.0,12.9795791896249,37.6407796499121,88.26113848944901,172.628403222011,299.828279280334,438.70977660932,556.823947234906
35,0,hi_gas,1390.1,1665.2918506448002,2192.74289771401,3259.11131896263,6160.09207784327,8797.3473131893,11652.462763629099,13819.598587457
28,0,hi_gas,60.288000000000004,240.56887508707803,432.48077437332296,705.809843053732,880.275206041227,1362.96271030663,1851.46572667162,2334.15323093702
48,0,hi_ren,46.2,126.737463241436,225.172140536524,305.70960377796,308.692472786902,317.64107981372797,326.589686840554,326.589686840554
16,0,hi_ren,154.919845218353,398.009950248756,1614.28966279712,2211.30458817026,3980.2377003869606,4002.3493642896706,4002.2111663902797,3979.96130458817
41,0,hi_ren,0.0,9.56172189048901,23.2213245911876,40.9788081020958,49.174569722514896,49.174569722514896,53.272450532724505,53.272450532724505
35,0,hi_ren,1390.1,1525.95333242366,1745.4087155695802,2173.86922552112,3804.10921460507,4807.33382327211,6113.615865807321,7357.1963703008305
28,0,hi_ren,60.288000000000004,87.2684486379748,146.625435641519,319.300306924558,427.222101476457,562.124344666331,686.234408401015,772.571844042535
